event_type,canonical_regime,canonical_family,legacy_family,default_executable,detector,enabled,tags,instrument_classes,sequence_eligible,subtype,phase,evidence_mode,layer,disposition,asset_scope,venue_scope,research_only,strategy_only,is_composite,is_context_tag,is_strategy_construct,deconflict_priority,reports_dir,events_file,signal_column,templates,horizons,conditioning_cols,max_candidates_per_run,accel_lookback,accel_near_zero_cutoff,accel_quantile,alignment_window,anchor_quantile,auc_horizon_bars,band_z_threshold,basis_lookback,breakout_strength_min,breakout_window,breakout_z_threshold,cascade_window_bars,cluster_window,compression_quantile,compression_ratio_max,compression_window,context_max_entropy,context_min_confidence,cooldown_bars,cooldown_quantile,cooldown_ratio,crossover_confirm_bars,depth_quantile,desync_z_threshold,event_spacing_bars,expansion_quantile,expansion_z_threshold,funding_abs_quantile,funding_extreme_quantile,funding_pct_window,funding_quantile,htf_lookback,htf_window,imbalance_abs_quantile,interaction_min_rows_per_year,lead_lag_window,liq_cooldown_ratio,liq_multiplier,liquidation_abs_min,liquidation_cooldown_abs_max,liquidation_multiplier,liquidation_quantile,liquidation_spike_z_threshold,lookback_window,low_volume_quantile,max_gap_bars,max_range_ratio,max_trend_persistence_bars,max_vacuum_bars,median_window,merge_gap_bars,min_basis_bps,min_breakout_distance,min_event_spacing,min_events_calibration,min_flip_abs,min_hazard_events,min_history_bars,min_occurrences,min_pair_observations,min_periods,min_prior_extreme_abs,min_spacing,min_trend_duration_bars,min_vacuum_bars,min_volume_quantile,normalization_lookback,oi_change_z_threshold,oi_drop_abs_min,oi_drop_quantile,oi_window,persistence_bars,phase_tolerance_bars,post_cluster_lookback,post_horizon_bars,post_window,pre_window,price_quantile,pullback_quantile,pullback_window,range_expansion_threshold,range_multiplier,range_quantile,range_window,rebound_quantile,rebound_return_min,rebound_window,rebound_window_bars,regime_window,ret_quantile,ret_window,return_abs_min,return_quantile,reversal_alignment_window,reversal_quantile,reversal_window,revert_z,rv_decay_ratio,rv_peak_decay_ratio,rv_quantile,rv_window,session_range_quantile,session_vol_z_min,shock_change_quantile,shock_quantile,shock_quantiles,shock_threshold_mode,slippage_z_threshold,slope_fast_window,slope_slow_window,slow_trend_quantile,spike_z_th,spread_abs_min,spread_quantile,spread_z_threshold,threshold_bps,threshold_window,threshold_z,transition_z_threshold,trend_peak_multiplier,trend_quantile,trend_strength_ratio,trend_window,vol_burst_quantile,vol_lookback_window,vol_quantile,vol_ratio_floor,vol_window,volume_quantile,volume_window,wick_quantile,wick_ratio_min,window,window_end,z_threshold,zscore_quantile
FEE_REGIME_CHANGE_EVENT,EXECUTION_FRICTION,EXECUTION_FRICTION,FEE_REGIME_CHANGE_EVENT,True,,True,,,True,fee_regime_change,transition,direct,canonical,keep,single_asset,single_venue,False,False,False,False,False,65,execution_friction,execution_friction_events.parquet,fee_regime_change_event,slippage_aware_filter|tail_risk_avoid,5m|15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,300,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
FLOW_EXHAUSTION_PROXY,TREND_FAILURE_EXHAUSTION,TREND_FAILURE_EXHAUSTION,FLOW_EXHAUSTION_PROXY,True,,True,,,True,flow_exhaustion,exhaustion,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,70,forced_flow_and_exhaustion,forced_flow_and_exhaustion_events.parquet,flow_exhaustion_proxy_event,mean_reversion|exhaustion_reversal|momentum_fade|range_reversion|only_if_trend|drawdown_filter,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,25.0,,0.9,0.85,,288,,,,,,,0,,,,,,,,0,,,,24,,,,,,5.0,0.8,,,,,,,,,,,,,,,,,6,,,,,0.0025,0.75,,0.65,3,,0.99,,,,,,,,,,,,,,,5.0,0.7,,,2880,,,,,,,,,,,,,,,,,,3.0,
FND_DISLOC,BASIS_FUNDING_DISLOCATION,BASIS_FUNDING_DISLOCATION,FND_DISLOC,True,,True,,,True,funding_dislocation,shock,direct,canonical,merge,single_asset,cross_venue,False,False,False,False,False,90,funding_dislocation,funding_dislocation_events.parquet,funding_dislocation_event,mean_reversion|overshoot_repair|tail_risk_avoid,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,,,,3,,,,,,,,,,,,,,,12,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,1,5.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
FORCED_FLOW_EXHAUSTION,TREND_FAILURE_EXHAUSTION,TREND_FAILURE_EXHAUSTION,FORCED_FLOW_EXHAUSTION,True,,True,,,True,forced_flow_exhaustion,exhaustion,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,75,directional_exhaustion_after_forced_flow,directional_exhaustion_after_forced_flow_events.parquet,forced_flow_exhaustion_event,mean_reversion|exhaustion_reversal|momentum_fade|range_reversion|only_if_trend|drawdown_filter,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,,,,,0.99,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,25.0,,0.9,0.92,,,,,,,,,1,,,,,,,,0,,,,32,,,,,,5.0,0.88,,,,,,,,,,,,,,,,,6,,,,,0.0025,0.8,,0.65,3,,0.99,,,,,,,,,,,,,,,5.0,0.7,,,2880,,,,,,,,,,,,,,,,,32,,
FUNDING_EXTREME_ONSET,BASIS_FUNDING_DISLOCATION,BASIS_FUNDING_DISLOCATION,FUNDING_EXTREME_ONSET,True,,True,,,True,funding_extreme,onset,direct,canonical,merge,single_asset,cross_venue,False,False,False,False,False,90,funding_events,funding_episode_events.parquet,funding_extreme_onset_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid,5m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,32,5,0.995,,,,,,,,,,,,,,,,0,,,4,,,,,,,,2880,,96,384,,150,,,,,,,,,,,,,,,,1,,,96,,,50,,0,,,0.0004,,,,,96,,,,,12,16,,,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,
FUNDING_FLIP,BASIS_FUNDING_DISLOCATION,BASIS_FUNDING_DISLOCATION,FUNDING_FLIP,True,,True,,,True,funding_flip,flip,direct,canonical,merge,single_asset,cross_venue,False,False,False,False,False,90,positioning_extremes,positioning_extremes_events.parquet,funding_flip_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid,5m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.00025,,,0,,,,24,,,,,3.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDING_NORMALIZATION_TRIGGER,BASIS_FUNDING_DISLOCATION,BASIS_FUNDING_DISLOCATION,FUNDING_NORMALIZATION_TRIGGER,True,,True,,,True,funding_normalization,normalization,direct,canonical,merge,single_asset,cross_venue,False,False,False,False,False,90,funding_events,funding_episode_events.parquet,funding_normalization_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,32,5,0.995,,,,,,,,,,,,,,,,0,,,4,,,,,,,,2880,,96,384,,150,,,,,,,,,,,,,,,,1,,,96,,,50,,0,,,0.0004,,,,,96,,,,,12,16,,,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,
FUNDING_PERSISTENCE_TRIGGER,BASIS_FUNDING_DISLOCATION,BASIS_FUNDING_DISLOCATION,FUNDING_PERSISTENCE_TRIGGER,True,,True,,,True,funding_persistence,persistence,direct,canonical,merge,single_asset,cross_venue,False,False,False,False,False,90,funding_events,funding_episode_events.parquet,funding_persistence_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid,5m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,32,5,0.995,,,,,,,,,,,,,,,,0,,,4,,,,,,,,2880,,96,384,,150,,,,,,,,,,,,,,,,1,,,96,,,50,,0,,,0.0004,,,,,96,,,,,12,16,,,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,
FUNDING_TIMESTAMP_EVENT,SCHEDULED_TEMPORAL_WINDOW,SCHEDULED_TEMPORAL_WINDOW,FUNDING_TIMESTAMP_EVENT,True,,True,,,True,funding_timestamp,window,contextual,context_tag,demote,multi_asset,market_wide,False,False,False,True,False,20,temporal_structure,temporal_structure_events.parquet,funding_timestamp_event,mean_reversion|continuation,5m|15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,300,,,,,,,,,,,,,,,,,,,12,,,,,,288,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAP_OVERSHOOT,STATISTICAL_STRETCH_OVERSHOOT,STATISTICAL_STRETCH_OVERSHOOT,GAP_OVERSHOOT,True,,True,,,True,gap_overshoot,overshoot,statistical,canonical,keep,single_asset,single_venue,False,False,False,False,False,60,statistical_dislocation,statistical_dislocation_events.parquet,gap_overshoot_event,mean_reversion|overshoot_repair|tail_risk_avoid,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,,,,,,,3.0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDEX_COMPONENT_DIVERGENCE,CROSS_ASSET_DESYNCHRONIZATION,CROSS_ASSET_DESYNCHRONIZATION,INDEX_COMPONENT_DIVERGENCE,True,,True,,,True,index_component_divergence,divergence,inferred_cross_asset,canonical,keep,cross_asset,multi_venue,False,False,False,False,False,90,information_desync,information_desync_events.parquet,index_component_divergence_event,desync_repair|convergence|basis_repair|lead_lag_follow|divergence_continuation,5m|15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,,,,,,,,,,,,,,,,,,,12,,,,,3.0,,,,,,,,,,,,60,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEAD_LAG_BREAK,CROSS_ASSET_DESYNCHRONIZATION,CROSS_ASSET_DESYNCHRONIZATION,LEAD_LAG_BREAK,True,,True,,,True,lead_lag_break,divergence,inferred_cross_asset,canonical,keep,cross_asset,multi_venue,False,False,False,False,False,90,information_desync,information_desync_events.parquet,lead_lag_break_event,desync_repair|convergence|basis_repair|lead_lag_follow|divergence_continuation,5m|15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,,,,,,,,,,,,,,,,,,,12,,,,,3.0,,,,,,,,,,,,60,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
